Date	Site	Algae	Treatment	n	pseu.alpha.REG2	pseu.sd.alpha.REG2	pseu.ETRm.REG2	pseu.sd.ETRm.REG2	pseu.Ek.REG2	pseu.sd.Ek.REG2	pseu.Fv.Fm	pseu.sd.Fv.Fm	Day	ID
2015-06-15	1	Peri	Thal	3	0.30286558886978593	0.06277882469356066	0.21909271826713786	0.180177798591338	-0.08377287060264801	0.23272526025513218	0.004672109848599111	0.14487583006729404	6	1.Peri.Thal
2015-06-15	2	Clad	Marg	3	-0.31600268980296436	0.2636772961544107	-0.03756413391417265	0.42067323716255145	0.2784385558887917	0.17355191971420944	-0.217670330656027	0.0976677009821645	6	2.Clad.Marg
2015-06-15	2	Clad	Thal	2	-0.098116552585885	0.29931277875665113	0.22295343222675426	0.28245385455065175	0.3210699848126392	0.016858924205999447	-0.06115053232216889	0.11370096110826973	6	2.Clad.Thal
2015-06-15	2	Oed	Marg	3	-0.763749295488501	0.12817412514732554	-0.3020145890344606	0.20225938600706564	0.4617347064540403	0.15338923657940004	-0.45053837716982326	0.09571141479582708	6	2.Oed.Marg
2015-06-15	2	Oed	Thal	3	-0.447801902174959	0.23072492467774555	-0.22579520525544286	0.506831567900787	0.2220066969195161	0.3368178167478435	-0.0863750673571089	0.13124189467819358	6	2.Oed.Thal
2015-06-15	2	Peri	Marg	3	-0.24746909068002446	0.5197614883875462	0.23690931429582382	0.655777868667118	0.4843784049758484	0.1360163802795719	-0.4446281443374174	0.7054591688921206	6	2.Peri.Marg
2015-06-15	2	Peri	Thal	3	0.3007687509947223	0.1765436506007935	0.019652256953874493	0.0734332049350496	-0.28111649404084776	0.247421472752371	0.16877518170791372	0.1741695351372593	6	2.Peri.Thal
2015-06-15	3	Clad	Marg	3	-0.40673639237124243	0.09459049592169606	-0.09059565337224036	0.14217996701642163	0.316140738999002	0.05374162718083951	-0.026745038062822045	0.04461303832814916	6	3.Clad.Marg
2015-06-15	3	Clad	Thal	3	0.038883050786586576	0.11783292273475789	0.5182789943468501	0.10297415005466584	0.47939594356026344	0.218863204744722	-0.0093933304890384	0.058729374446131036	6	3.Clad.Thal
2015-06-15	3	Oed	Marg	3	-0.5203721090991122	0.06299129581237294	-0.32889200607448316	0.32519264318113683	0.1914801030246289	0.3847588479775522	-0.13725107043425086	0.1781227182760029	6	3.Oed.Marg
2015-06-15	3	Oed	Thal	3	-0.13922801422460468	0.2459613720932875	0.05483857672342521	0.544569137668964	0.19406659094802997	0.2987856201712268	-0.03640563310997252	0.24526338217239707	6	3.Oed.Thal
2015-06-15	3	Peri	Marg	3	-0.06999022432954134	0.21989359296092828	0.3098706093252902	0.16257833698561464	0.3798608336548316	0.38017269177308977	-0.26585421613742877	0.23192457932470767	6	3.Peri.Marg
2015-06-15	3	Peri	Thal	3	0.07806721425503187	0.2678020535515493	0.22970309656642024	0.1967331655035238	0.15163588231138836	0.0710864822251056	-0.08677162361498986	0.13624802435301137	6	3.Peri.Thal
2015-06-15	4	Clad	Marg	3	-0.20829254818122178	0.37846374177529285	0.3700896593159772	0.6552541451679459	0.5783822074971989	0.453004794132003	0.001286372968578828	0.17327924747657505	6	4.Clad.Marg
2015-06-15	4	Clad	Thal	3	-0.3881306393665333	0.2648648199445505	-0.07104509190455338	0.3702171231926904	0.3170855474619799	0.31580230156586636	-0.14172137272503987	0.14942765610211917	6	4.Clad.Thal
2015-06-15	4	Oed	Marg	3	-0.18312116285845234	0.39315592096392304	-0.23687983696696172	0.2689631030095451	-0.0537586741085094	0.6552791420253281	-0.030007374366139806	0.19039270391643723	6	4.Oed.Marg
2015-06-15	4	Oed	Thal	3	-0.3715570966037096	0.5911363485675454	0.2721030928140848	0.44525540488292004	0.6436601894177945	0.43384063040954457	-0.03861458135940247	0.48691929313621013	6	4.Oed.Thal
2015-06-15	4	Peri	Marg	3	-0.11032977052159838	0.3478217692244162	0.4337949170242079	0.0661310652629862	0.5441246875458062	0.28218717750807726	-0.16329570637631458	0.29443974364463954	6	4.Peri.Marg
2015-06-15	4	Peri	Thal	3	0.2663963115075898	0.3303448652845579	0.29567250192385386	0.2628821081622151	0.02927619041626402	0.41855096880840714	0.028505271725052312	0.3757399636401386	6	4.Peri.Thal
