Date,ArrayID,CapID,Site,Loc,Algae,Treatment,Mem,info.Fo,Notes
15-Jun-15,3.3,E,3,3T,Clad,Thal,705,,
15-Jun-15,3.3,F,3,3T,Oed,Thal,715,1520,
15-Jun-15,3.4,A,3,3M,Clad,Marg,253,812,
15-Jun-15,3.4,B,3,3M,Oed,Marg,263,1055,
15-Jun-15,3.5,C,3,3M,Clad,Marg,455,,
15-Jun-15,3.5,D,3,3M,Oed,Marg,465,850,
15-Jun-15,3.6,E,3,3M,Clad,Marg,725,1227,
15-Jun-15,3.6,F,3,3M,Oed,Marg,754,,
15-Jun-15,4,G,4,4M,Blank,Marg,964,170,
15-Jun-15,4,H,4,4T,Blank,Thal,955,375,
15-Jun-15,4.1,A,4,4T,Clad,Thal,300,1050,
15-Jun-15,4.1,B,4,4T,Oed,Thal,310,1630,
15-Jun-15,4.2,C,4,4T,Clad,Thal,511,1050,
15-Jun-15,4.2,D,4,4T,Oed,Thal,521,1500,
15-Jun-15,4.3,E,4,4T,Clad,Thal,801,1000,
15-Jun-15,4.3,F,4,4T,Oed,Thal,829,1540,
15-Jun-15,4.4,A,4,4M,Clad,Marg,320,900,
15-Jun-15,4.4,B,4,4M,Oed,Marg,330,1058,
15-Jun-15,4.5,C,4,4M,Clad,Marg,531,1245,
15-Jun-15,4.5,D,4,4M,Oed,Marg,541,1610,
15-Jun-15,4.6,E,4,4M,Clad,Marg,810,1040,
15-Jun-15,4.6,F,4,4M,Oed,Marg,838,,error_overflow
15-Jun-15,4.6,F,4,4M,Oed,Marg,898,1301,redo
15-Jun-15,c1.1,COB,1,1T,Peri,Thal,205,472,
15-Jun-15,c1.2,COB,1,1T,Peri,Thal,416,440,error_wrongside
15-Jun-15,c1.2,COB,1,1T,Peri,Thal,636,328,error_wrongside
15-Jun-15,c1.2,COB,1,1T,Peri,Thal,735,,
15-Jun-15,c1.3,COB,1,1T,Peri,Thal,686,332,
15-Jun-15,c2.1,COB,1,1M,Peri,Marg,214,280,
15-Jun-15,c2.1,COB,1,1M,Peri,Marg,223,287,redo
15-Jun-15,c2.2,COB,1,1M,Peri,Marg,425,,
15-Jun-15,c2.3,COB,1,1M,Peri,Marg,695,290,
15-Jun-15,c3.1,COB,2,2T,Peri,Thal,147,427,
15-Jun-15,c3.2,COB,2,2T,Peri,Thal,609,692,
15-Jun-15,c3.2,COB,2,2T,Peri,Thal,618,330,redo
15-Jun-15,c3.2,COB,2,2T,Peri,Thal,764,,
15-Jun-15,c3.3,COB,2,2T,Peri,Thal,879,780,
15-Jun-15,c4.1,COB,2,2M,Peri,Marg,156,303,
15-Jun-15,c4.2,COB,2,2M,Peri,Marg,627,215,
15-Jun-15,c4.2,COB,2,2M,Peri,Marg,744,,redo
15-Jun-15,c4.3,COB,2,2M,Peri,Marg,898,582,
15-Jun-15,c5.1,COB,3,3T,Peri,Thal,272,435,
15-Jun-15,c5.1,COB,3,3T,Peri,Thal,281,,redo
15-Jun-15,c5.2,COB,3,3T,Peri,Thal,474,395,
15-Jun-15,c5.2,COB,3,3T,Peri,Thal,483,,redo
15-Jun-15,c5.3,COB,3,3T,Peri,Thal,773,250,
15-Jun-15,c6.1,COB,3,3M,Peri,Marg,290,335,
15-Jun-15,c6.2,COB,3,3M,Peri,Marg,492,351,
15-Jun-15,c6.2,COB,3,3M,Peri,Marg,501,312,redo
15-Jun-15,c6.3,COB,3,3M,Peri,Marg,782,360,
15-Jun-15,c6.3,COB,3,3M,Peri,Marg,791,280,redo
15-Jun-15,c7.1,COB,4,4T,Peri,Thal,339,,
15-Jun-15,c7.1,COB,4,4T,Peri,Thal,348,775,redo
15-Jun-15,c7.2,COB,4,4T,Peri,Thal,551,455,
15-Jun-15,c7.3,COB,4,4T,Peri,Thal,820,680,
15-Jun-15,c8.1,COB,4,4M,Peri,Marg,357,340,
15-Jun-15,c8.2,COB,4,4M,Peri,Marg,560,500,
15-Jun-15,c8.3,COB,4,4M,Peri,Marg,839,440,
